User_ID;Timestamp;Longitude;Latitude;Speed;Operatorname;Node;CellID;LAC;NetworkTech;Level;Qual;SNR;CQI;LTERSSI;ARFCN;DL_bitrate;UL_bitrate;PSC;Altitude;Accuracy;State;SERVINGTIME;BANDWIDTH;SecondCell_NODE;SecondCell_CELLID;SecondCell_RSRP;SecondCell_SNR;SecondCell_PSC;SecondCell_ARFCN;NTech1;NCellid1;NLAC1;NCell1;NARFCN1;NRxLev1;NQual1;PINGAVG;PINGMIN;PINGMAX;PINGSTDEV;PINGLOSS;TESTDOWNLINK;TESTUPLINK;TESTDOWNLINKMAX;TESTUPLINKMAX;Test_Status;Mobility;Node_Longitude;Node_Latitude;SessionID;ElapsedTime;Application_Type
1;2025.01.07_10.17.56;101.6084822;3.07350489;3.0;Operator A;701806.0;20.0;5123.0;5G;-101.0;-10.0;0.0;7.0;;9310.0;382.0;27.0;327.0;11.0;4.0;D;52.0;20.0;701806.0;20.0;-94.0;-8.0;327.0;9310.0;4G;701806-20;5123.0;327.0;9310.0;-94.0;-18.0;32.0;13.0;97.0;27.0;0.0;479.0;6278.0;621.0;8164.0;NONE;Walking;101.6101976;3.07598075;12;47.0;Video_Streaming
2;2025.01.07_09.53.40;101.6040837;3.06765412;0.0;Operator B;701688.0;10.0;5123.0;5G;-109.0;-12.0;-7.0;8.0;;9310.0;544.0;24.0;376.0;10.0;11.0;D;86.0;20.0;701688.0;10.0;-94.0;-5.0;376.0;9310.0;4G;701688-10;5123.0;376.0;9310.0;-94.0;-19.0;61.0;18.0;119.0;32.0;0.0;503.0;5388.0;539.0;6369.0;NONE;Walking;101.6025813;3.06998171;10;44.0;Video_Call
3;2025.01.16_10.54.44;101.6071518;3.06619989;0.0;Operator C;701905.0;20.0;5123.0;5G;-107.0;-9.0;0.0;8.0;;9310.0;279.0;19.0;299.0;24.0;11.0;D;49.0;20.0;701905.0;20.0;-99.0;-5.0;299.0;9310.0;4G;701905-20;5123.0;299.0;9310.0;-99.0;-17.0;105.0;25.0;375.0;100.0;0.0;486.0;5929.0;553.0;6542.0;NONE;Walking;101.6055148;3.07049259;11;84.0;Web_Browse
4;2025.01.16_11.39.34;101.6078553;3.06628576;0.0;Operator B;701911.0;30.0;5123.0;5G;-115.0;-8.0;2.0;10.0;;9310.0;547.0;25.0;369.0;27.0;11.0;D;56.0;20.0;701911.0;30.0;-97.0;-5.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-97.0;-18.0;182.0;13.0;359.0;114.0;0.0;529.0;6074.0;717.0;7573.0;NONE;Walking;101.6087852;3.06551172;11;40.0;Background_Download
5;2025.01.16_12.33.10;101.6080185;3.06646936;0.0;Operator A;701911.0;30.0;5123.0;5G;-114.0;-7.0;4.0;7.0;;9310.0;785.0;50.0;369.0;33.0;11.0;D;180.0;20.0;701911.0;30.0;-95.0;2.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-95.0;-14.0;39.0;23.0;54.0;10.0;0.0;547.0;5635.0;583.0;8043.0;NONE;Walking;101.6087852;3.06551172;13;51.0;Video_Streaming
6;2025.01.16_13.52.21;101.6102613;3.07622827;0.0;Operator B;701806.0;30.0;5123.0;5G;-89.0;-8.0;2.0;12.0;;9310.0;647.0;24.0;329.0;52.0;8.0;D;87.0;20.0;701806.0;30.0;-71.0;4.0;329.0;9310.0;4G;701806-30;5123.0;329.0;9310.0;-71.0;-14.0;72.0;45.0;107.0;21.0;0.0;487.0;4932.0;677.0;5776.0;NONE;Walking;101.6101976;3.07598075;13;122.0;Video_Call
7;2025.01.16_13.54.17;101.6107688;3.0707679;0.0;Operator B;701684.0;30.0;5123.0;5G;-88.0;-5.0;14.0;9.0;;9310.0;386.0;20.0;456.0;52.0;6.0;D;34.0;20.0;701684.0;30.0;-71.0;9.0;456.0;9310.0;4G;701684-30;5123.0;456.0;9310.0;-71.0;-17.0;56.0;14.0;141.0;35.0;0.0;591.0;4644.0;683.0;5596.0;NONE;Walking;101.6107273;3.07073902;13;238.0;Video_Streaming
8;2025.01.16_13.58.43;101.6016541;3.06526834;0.0;Operator B;702072.0;20.0;5123.0;5G;-94.0;-5.0;4.0;6.0;;9310.0;543.0;25.0;473.0;52.0;11.0;D;48.0;20.0;702072.0;20.0;-82.0;-10.0;473.0;9310.0;4G;702072-20;5123.0;473.0;9310.0;-82.0;-20.0;89.0;28.0;380.0;99.0;0.0;575.0;4887.0;688.0;6513.0;NONE;Walking;101.6016286;3.06529604;13;504.0;Web_Browse
9;2025.01.16_14.02.48;101.5969156;3.06160813;0.0;Operator B;702023.0;10.0;5123.0;5G;-84.0;-5.0;14.0;8.0;;9310.0;374.0;19.0;172.0;51.0;11.0;D;36.0;20.0;702023.0;10.0;-90.0;-1.0;172.0;9310.0;4G;702023-10;5123.0;172.0;9310.0;-90.0;-16.0;49.0;22.0;102.0;24.0;0.0;427.0;5770.0;548.0;7802.0;NONE;Walking;101.5966828;3.06167319;13;749.0;Video_Streaming
10;2025.01.16_13.37.03;101.5965965;3.06166643;0.0;Operator A;702023.0;10.0;5123.0;5G;-88.0;-5.0;17.0;9.0;;9310.0;370.0;29.0;172.0;48.0;11.0;D;32.0;20.0;702023.0;10.0;-84.0;-5.0;172.0;9310.0;4G;702023-10;5123.0;172.0;9310.0;-84.0;-16.0;85.0;21.0;149.0;36.0;0.0;441.0;5910.0;561.0;10128.0;NONE;Walking;101.5966828;3.06167319;15;243.0;Web_Browse
